               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 115,            0.021883,            0.019916,           0.0048544,             0.79314,             0.62673,             0.68833,             0.45402,            0.038736,            0.031983,            0.015799,           0.0071566,           0.0071566,           0.0071566
                 116,            0.021939,            0.020944,           0.0046885,             0.80356,             0.62302,               0.694,              0.4584,            0.038566,            0.032182,            0.015238,           0.0071127,           0.0071127,           0.0071127
                 117,            0.021679,            0.020402,           0.0050533,             0.77603,             0.64743,             0.69744,             0.46076,            0.038446,            0.030823,             0.01438,           0.0070686,           0.0070686,           0.0070686
                 118,            0.021687,            0.020744,           0.0047224,             0.78919,             0.61411,             0.68172,             0.44896,            0.038669,            0.031932,            0.015332,           0.0070243,           0.0070243,           0.0070243
                 119,            0.021487,            0.019868,           0.0046856,             0.77627,             0.63514,             0.68794,             0.45143,            0.038565,            0.032161,            0.015269,           0.0069799,           0.0069799,           0.0069799
                 120,            0.021735,            0.020753,           0.0046537,             0.76253,             0.64066,             0.69182,             0.45299,            0.038527,            0.030822,            0.015423,           0.0069353,           0.0069353,           0.0069353
                 121,            0.021529,            0.020102,           0.0043115,             0.78013,             0.63465,             0.69324,             0.45581,            0.038401,            0.031265,            0.014877,           0.0068906,           0.0068906,           0.0068906
                 122,            0.021303,            0.020134,            0.004599,             0.73778,             0.66345,             0.68906,             0.45552,            0.038715,            0.031859,            0.015682,           0.0068457,           0.0068457,           0.0068457
                 123,            0.020876,            0.019821,           0.0044042,             0.80394,              0.6217,             0.68873,             0.45907,            0.038904,            0.032474,            0.015337,           0.0068006,           0.0068006,           0.0068006
                 124,             0.02145,            0.019958,           0.0046631,             0.79364,             0.63022,             0.68939,             0.45611,            0.038781,            0.031945,            0.015185,           0.0067555,           0.0067555,           0.0067555
                 125,            0.021058,            0.019902,           0.0043149,             0.77085,             0.64215,             0.68651,             0.45468,            0.039023,            0.032358,            0.015778,           0.0067101,           0.0067101,           0.0067101
                 126,            0.021265,            0.020484,           0.0044253,             0.80088,             0.62692,             0.69424,             0.45998,            0.038738,            0.032009,            0.016212,           0.0066647,           0.0066647,           0.0066647
                 127,             0.02081,            0.020387,           0.0043388,             0.77517,             0.63833,             0.69019,             0.45712,            0.038781,            0.032284,            0.015581,           0.0066191,           0.0066191,           0.0066191
                 128,            0.020778,            0.019428,            0.004187,             0.79268,             0.62969,             0.68952,             0.45455,            0.038923,            0.032916,            0.016394,           0.0065734,           0.0065734,           0.0065734
                 129,            0.020897,            0.019387,           0.0041918,             0.78451,             0.63434,             0.68858,             0.45774,            0.038905,             0.03312,            0.016908,           0.0065276,           0.0065276,           0.0065276
                 130,            0.020558,            0.019577,           0.0042431,             0.80006,             0.62131,             0.68888,             0.45771,            0.038712,            0.032156,            0.015805,           0.0064816,           0.0064816,           0.0064816
                 131,            0.020689,            0.019448,           0.0043282,              0.7763,             0.63399,             0.68279,             0.45614,            0.038889,            0.032924,            0.015776,           0.0064356,           0.0064356,           0.0064356
                 132,            0.020771,            0.019005,           0.0040656,             0.77248,             0.64461,             0.69156,             0.45737,            0.038581,            0.031977,            0.015396,           0.0063895,           0.0063895,           0.0063895
                 133,            0.020549,            0.019552,           0.0045189,             0.77743,             0.64275,             0.69646,             0.46163,            0.038418,            0.031991,            0.015664,           0.0063432,           0.0063432,           0.0063432
                 134,            0.020629,             0.01931,           0.0042868,             0.78012,             0.63749,             0.69278,             0.45846,            0.038611,            0.032306,            0.015902,           0.0062969,           0.0062969,           0.0062969
                 135,            0.020685,            0.019458,           0.0045366,             0.77705,             0.64228,             0.69128,             0.46256,             0.03854,            0.032102,            0.015518,           0.0062505,           0.0062505,           0.0062505
                 136,            0.020216,            0.019783,            0.004198,             0.77184,             0.63199,              0.6881,             0.45645,            0.038741,            0.032709,            0.015619,            0.006204,            0.006204,            0.006204
                 137,            0.020249,            0.019462,            0.004124,              0.7953,             0.61668,             0.68787,             0.46029,             0.03867,            0.032402,            0.015374,           0.0061574,           0.0061574,           0.0061574
                 138,            0.020409,            0.019188,           0.0042026,             0.77666,             0.63534,             0.68742,             0.45988,            0.038483,              0.0325,            0.015554,           0.0061107,           0.0061107,           0.0061107
                 139,            0.020172,            0.019024,           0.0041613,             0.77481,             0.64814,             0.69445,             0.46109,            0.038586,            0.032753,            0.015509,            0.006064,            0.006064,            0.006064
                 140,            0.020523,            0.019215,           0.0039692,             0.81503,             0.62361,             0.69473,             0.46276,            0.038828,            0.032927,            0.015614,           0.0060172,           0.0060172,           0.0060172
                 141,            0.020067,              0.0189,           0.0043957,             0.78229,              0.6431,              0.6955,             0.46336,            0.038588,            0.031876,            0.015095,           0.0059704,           0.0059704,           0.0059704
                 142,            0.020188,            0.019266,            0.004162,              0.7756,               0.646,             0.69313,             0.45981,            0.038619,            0.032073,              0.0152,           0.0059235,           0.0059235,           0.0059235
                 143,            0.019599,            0.019137,           0.0039028,             0.78449,             0.63771,             0.69176,             0.46284,            0.038594,             0.03274,            0.015203,           0.0058766,           0.0058766,           0.0058766
                 144,            0.019787,            0.018789,           0.0040037,             0.79058,             0.63182,             0.68886,             0.45758,            0.038779,            0.033342,            0.015886,           0.0058296,           0.0058296,           0.0058296
                 145,            0.019679,             0.01913,           0.0038963,             0.77924,             0.63664,             0.68751,             0.46096,            0.038677,             0.03317,            0.016637,           0.0057826,           0.0057826,           0.0057826
                 146,            0.019832,            0.018772,            0.003926,             0.76943,             0.64127,             0.69027,             0.46226,             0.03841,            0.032563,            0.016306,           0.0057355,           0.0057355,           0.0057355
                 147,            0.019765,            0.018202,           0.0039009,             0.76659,             0.64338,             0.68618,             0.45938,            0.038796,            0.033076,             0.01652,           0.0056884,           0.0056884,           0.0056884
                 148,            0.019695,            0.019178,           0.0042311,             0.79406,             0.62122,             0.68237,             0.45801,            0.038843,            0.033553,            0.016813,           0.0056413,           0.0056413,           0.0056413
                 149,            0.019618,            0.018584,           0.0040224,             0.78606,             0.63181,             0.68559,             0.45983,            0.038663,            0.033565,            0.016467,           0.0055942,           0.0055942,           0.0055942
                 150,            0.019867,             0.01846,           0.0036729,             0.80818,             0.61872,             0.69184,             0.46462,            0.038653,            0.033094,            0.016416,           0.0055471,           0.0055471,           0.0055471
                 151,            0.019373,             0.01821,           0.0038523,             0.76869,             0.64009,             0.68633,             0.46173,            0.038918,            0.033583,            0.017046,              0.0055,              0.0055,              0.0055
                 152,            0.019135,            0.018736,           0.0036244,             0.79444,             0.62674,             0.68935,             0.46505,            0.038502,            0.033759,            0.016798,           0.0054529,           0.0054529,           0.0054529
                 153,            0.019241,            0.018172,            0.003977,              0.7987,             0.62874,             0.69314,             0.46412,            0.038732,            0.033454,            0.016379,           0.0054058,           0.0054058,           0.0054058
